,dz_gb,N2_glob,zs_sig0,zs_sig1,zs_sig2,zs_sig3,zs_sig4,SSD_mean,SST_mean,SSS_mean,OBC,OHC,OSC
2003-12-16 12:00:00,0.6889065796952311,8.283430901616656e-06,0.5227787459002101,0.6121270918194828,0.6989452959909589,0.7828508139429403,0.8635347168993851,24.36947560106234,18.312677,34.730865,1.3185104018961455e+19,-3.5813016e+19,-3.7656947e+17
2004-01-16 12:00:00,0.689244165800879,8.359461116654033e-06,0.5229689280763097,0.6124180077478637,0.6993341425804417,0.7833343362090871,0.8641092757882247,24.346412780169047,18.475422,34.738216,1.3185105109281483e+19,-3.5803716e+19,-3.765121e+17
2004-02-15 12:00:00,0.6900925875472914,8.457409965794108e-06,0.5236862421025816,0.6132182482833994,0.7002149740037598,0.7842931085371055,0.8651431065087687,24.31168979534627,18.633558,34.74884,1.318510934934925e+19,-3.579312e+19,-3.763992e+17
2004-03-16 12:00:00,0.691045267029633,8.450885563937809e-06,0.5245473254642626,0.6141309111120857,0.7011777399279432,0.7853043423372292,0.8662010839173085,24.314441993042976,18.59787,34.755905,1.3185114684518971e+19,-3.5783978e+19,-3.7628992e+17
2004-04-16 00:00:00,0.6919127901665489,8.439655986883757e-06,0.5253687596138025,0.6149730105511102,0.7020398795676516,0.7861858753729604,0.8671013921873838,24.3166486391424,18.530645,34.759144,1.3185119747339063e+19,-3.5777508e+19,-3.7619265e+17
2004-05-16 12:00:00,0.6913590361745732,8.311293112006714e-06,0.5248846468329458,0.6144393976640379,0.7014581479695152,0.7855576071496188,0.8664283239997512,24.364935789007518,18.368334,34.76619,1.3185116953120244e+19,-3.5782907e+19,-3.7614313e+17
2004-06-16 00:00:00,0.6896984886861811,8.234063641857019e-06,0.5234095272691524,0.6128440170038445,0.6997459116473993,0.783732364970464,0.8644942365760905,24.392919912701178,18.277525,34.756767,1.318510806778653e+19,-3.579956e+19,-3.762023e+17
2004-07-16 12:00:00,0.6881599850609323,8.313357953848554e-06,0.5220814174762707,0.6113823184266399,0.698154408984822,0.7820153435549057,0.8626563410937049,24.3579125689277,18.350431,34.722496,1.3185099804898998e+19,-3.581768e+19,-3.764018e+17
2004-08-16 12:00:00,0.6873636551036355,8.401345995411724e-06,0.5214549341215549,0.6106473162301318,0.6973139475335891,0.7810729249515068,0.8616158144326114,24.318328590534815,18.451298,34.700817,1.3185095760946074e+19,-3.5830243e+19,-3.765624e+17
2004-09-16 00:00:00,0.6876086770691049,8.397320805469696e-06,0.5217482635926592,0.6109070404357675,0.6975409926127291,0.7812683841783393,0.8617809374268158,24.316792002282398,18.406334,34.694473,1.3185097429821694e+19,-3.5831776e+19,-3.7663736e+17
2004-10-16 12:00:00,0.6883710730235434,8.300161543546537e-06,0.5224396480958582,0.611643301522848,0.6983208466348443,0.7820903804985322,0.862643513054773,24.3542451323801,18.2547,34.704773,1.3185101702768757e+19,-3.5824488e+19,-3.7663678e+17
2004-11-16 00:00:00,0.6891964834015124,8.26255461544388e-06,0.5231135800348643,0.6124178053997862,0.6991930823459841,0.7830570841820518,0.8637010853237862,24.371770184980505,18.221268,34.717537,1.3185105890031737e+19,-3.5812662e+19,-3.765901e+17
2004-12-16 12:00:00,0.6896926936558584,8.297874044212588e-06,0.5234507457971351,0.61286402894218,0.6997453198598574,0.7837118024391485,0.8644543393590917,24.36397920658278,18.326794,34.727383,1.3185107915488268e+19,-3.5802166e+19,-3.765686e+17
2005-01-16 12:00:00,0.689963087039905,8.384013868492448e-06,0.5235898122205087,0.6130939072441196,0.7000634875854503,0.7841153290954587,0.8649399460779639,24.337992135871882,18.512127,34.737118,1.3185108633400302e+19,-3.579419e+19,-3.7652164e+17
2005-02-15 00:00:00,0.6905652525624548,8.447171514873956e-06,0.5240747778286143,0.6136555017425529,0.7006995638742008,0.7848234338221513,0.865717387106076,24.31691883113299,18.622866,34.745907,1.3185111520111133e+19,-3.5785422e+19,-3.7644584e+17
2005-03-16 12:00:00,0.6916298370306249,8.50940210894502e-06,0.5250473318611075,0.6146820945072912,0.7017786403619922,0.7859532790595026,0.8668962022818616,24.292302245820817,18.66827,34.7528,1.3185117281802572e+19,-3.5775868e+19,-3.7632916e+17
2005-04-16 00:00:00,0.6921249382149565,8.447567574759334e-06,0.5255266435169866,0.6151643074771838,0.7022636328007348,0.7864409659659245,0.8673865618492653,24.315642985584105,18.549591,34.763336,1.3185120290803012e+19,-3.5772523e+19,-3.7622718e+17
2005-05-16 12:00:00,0.6918071611401442,8.381729408617073e-06,0.5252740908131838,0.6148646892641539,0.7019182500821105,0.7860513248242922,0.8669543368485306,24.339260990635275,18.445652,34.7633,1.3185118885131325e+19,-3.577717e+19,-3.7620976e+17
2005-06-16 00:00:00,0.6903104892656527,8.319800578048009e-06,0.5239567385080551,0.6134331054370414,0.7003756682618577,0.7844014006641387,0.8652010227280832,24.35955805058576,18.37228,34.7501,1.3185110806936642e+19,-3.5793466e+19,-3.763184e+17
2005-07-16 12:00:00,0.6886595391520838,8.357942086892705e-06,0.5225282312981354,0.6118618324775528,0.6986656793533645,0.7825572797827018,0.8632277370435404,24.339090620434874,18.418633,34.722027,1.3185102032911727e+19,-3.5812765e+19,-3.7652545e+17
2005-08-16 12:00:00,0.6878379823372806,8.434421977189134e-06,0.5218797048573657,0.611098855125744,0.6977914885327573,0.781575580962067,0.8621426032057175,24.304810986289024,18.502214,34.700085,1.3185097966977233e+19,-3.582566e+19,-3.7668258e+17
2005-09-16 00:00:00,0.6877482575933956,8.379535434772927e-06,0.5218653304028701,0.6110319409040456,0.6976735054059983,0.7814082367195757,0.8619278093761792,24.323596327282704,18.410671,34.702282,1.3185097849357232e+19,-3.5829768e+19,-3.7672474e+17
2005-10-16 12:00:00,0.6884859093485305,8.28281932766282e-06,0.5225495267148225,0.6117478832079306,0.6984202781840312,0.7821848168207234,0.862733112549877,24.360876117935668,18.248857,34.711056,1.318510207779983e+19,-3.5823426e+19,-3.7672158e+17
2005-11-16 00:00:00,0.6891159218954962,8.200325186170967e-06,0.5230498458413152,0.6123340938088,0.699089966407441,0.7829351947847576,0.8635610892500605,24.397034751648185,18.156199,34.726013,1.3185105338701533e+19,-3.581356e+19,-3.7670928e+17
2005-12-16 12:00:00,0.6895260534473011,8.224077573542031e-06,0.5232989170747537,0.6126940019462568,0.6995576193083212,0.7835069946677383,0.8642330073863163,24.394794311552364,18.246817,34.733723,1.3185106949256862e+19,-3.580334e+19,-3.7669368e+17
2006-01-16 12:00:00,0.689930712773354,8.31569931494271e-06,0.5235532840021174,0.6130463391321094,0.7000052069577768,0.7840466773112579,0.8648612625497866,24.365312868698602,18.431276,34.738,1.3185108587967838e+19,-3.5793572e+19,-3.76629e+17
2006-02-15 00:00:00,0.6906446326768965,8.40445574928117e-06,0.5241511369785287,0.6137147026742599,0.7007421039100388,0.7848498596994623,0.8657282809839317,24.333527303800604,18.569855,34.747105,1.3185112287269276e+19,-3.5784017e+19,-3.7651346e+17
2006-03-16 12:00:00,0.6919625390219817,8.452268371732851e-06,0.5253640412263679,0.6149887341756413,0.702075505615892,0.7862406948229366,0.867174522376401,24.314164881718302,18.590681,34.7507,1.3185119544536308e+19,-3.5772624e+19,-3.7640746e+17
