time,depth,N2_mean,CoM
2013-07-16 12:00:00,1834.0,1.8305405191221702e-05,0.3299727143558152
2013-08-16 12:00:00,1834.0,1.8511991856307796e-05,0.3294355188338784
2013-09-16 00:00:00,1834.0,1.8496655772507196e-05,0.32969724549880386
2013-10-16 12:00:00,1834.0,1.824601474353042e-05,0.33030412232504225
2013-11-16 00:00:00,1834.0,1.812381673870537e-05,0.33085649805305517
2013-12-16 12:00:00,1834.0,1.819246420769895e-05,0.331116284648402
2014-01-16 12:00:00,1834.0,1.8395837649223895e-05,0.3312864523925244
2014-02-15 00:00:00,1834.0,1.8632593915502082e-05,0.3319153261854729
2014-03-16 12:00:00,1834.0,1.8775300034224498e-05,0.3328105095098273
2014-04-16 00:00:00,1834.0,1.8737888955833566e-05,0.33349597719743135
2014-05-16 12:00:00,1834.0,1.858209006645288e-05,0.3331482425626257
2014-06-16 00:00:00,1834.0,1.844393704090865e-05,0.33180913187583677
2014-07-16 12:00:00,1834.0,1.8472308275260464e-05,0.33033249115728347
2014-08-16 12:00:00,1834.0,1.870249443889431e-05,0.3298234214882848
2014-09-16 00:00:00,1834.0,1.8716275840593705e-05,0.3302550771079499
2014-10-16 12:00:00,1834.0,1.8493517493618352e-05,0.33095967265786747
2014-11-16 00:00:00,1834.0,1.8326971023480316e-05,0.331511019012326
2014-12-16 12:00:00,1834.0,1.8365807412959437e-05,0.33166611729660717
2015-01-16 12:00:00,1834.0,1.8571843805286862e-05,0.33192285902601565
2015-02-15 00:00:00,1834.0,1.878745850681437e-05,0.3326762947577836
2015-03-16 12:00:00,1834.0,1.886699533920934e-05,0.3335714936811594
2015-04-16 00:00:00,1834.0,1.8904853564607057e-05,0.33433728125183365
2015-05-16 12:00:00,1834.0,1.876679959441668e-05,0.3338041146708262
2015-06-16 00:00:00,1834.0,1.8657847762524106e-05,0.33244456957831897
2015-07-16 12:00:00,1834.0,1.8768991849246378e-05,0.3311490324760183
2015-08-16 12:00:00,1834.0,1.9023876177421863e-05,0.33067861409910837
2015-09-16 00:00:00,1834.0,1.905782609981161e-05,0.3311174563708659
2015-10-16 12:00:00,1834.0,1.8849031833110978e-05,0.33182043310491993
2015-11-16 00:00:00,1834.0,1.8773152362046056e-05,0.33241374130115164
2015-12-16 12:00:00,1834.0,1.8843212037773826e-05,0.3326401306511413
2016-01-16 12:00:00,1834.0,1.905133914272323e-05,0.3329603075225151
2016-02-15 12:00:00,1834.0,1.9158490985103762e-05,0.3333189438851068
2016-03-16 12:00:00,1834.0,1.9255553551938422e-05,0.3341012976352805
2016-04-16 00:00:00,1834.0,1.9107715499351246e-05,0.3345621929681718
2016-05-16 12:00:00,1834.0,1.8848930442178507e-05,0.3340887611289561
2016-06-16 00:00:00,1834.0,1.8664957647100213e-05,0.3328072085736988
2016-07-16 12:00:00,1834.0,1.8702796391460866e-05,0.3314994247676707
2016-08-16 12:00:00,1834.0,1.8812475880767435e-05,0.33096629898509805
2016-09-16 00:00:00,1834.0,1.87511285186984e-05,0.331112947677143
2016-10-16 12:00:00,1834.0,1.8517448177892956e-05,0.3317966771593044
2016-11-16 00:00:00,1834.0,1.8348867002661455e-05,0.33222305804981633
2016-12-16 12:00:00,1834.0,1.8455368206685318e-05,0.3325649311161324
2017-01-16 12:00:00,1834.0,1.871439724196534e-05,0.33291009237163377
2017-02-15 00:00:00,1834.0,1.894773458256219e-05,0.33354208893037485
2017-03-16 12:00:00,1834.0,1.903080547585679e-05,0.33462508453773726
2017-04-16 00:00:00,1834.0,1.896250872147853e-05,0.33526976619453325
2017-05-16 12:00:00,1834.0,1.871862975234233e-05,0.33475937027057234
2017-06-16 00:00:00,1834.0,1.853617604455047e-05,0.3333915160852028
2017-07-16 12:00:00,1834.0,1.8641131361287238e-05,0.3319386822813751
2017-08-16 12:00:00,1834.0,1.8783699578434038e-05,0.33106497996156325
2017-09-16 00:00:00,1834.0,1.860946934309523e-05,0.330949125474861
2017-10-16 12:00:00,1834.0,1.8293895975230165e-05,0.33122842904749716
2017-11-16 00:00:00,1834.0,1.8172416419582303e-05,0.3318004554927396
2017-12-16 06:00:00,1834.0,1.8195219574705838e-05,0.3318607620157683
1992-01-16 18:00:00,1993.0,1.703095076354765e-05,0.3476527523927339
1992-02-15 12:00:00,1993.0,1.720137919507495e-05,0.3479072408823203
1992-03-16 12:00:00,1993.0,1.7172998066946924e-05,0.3483606618755883
1992-04-16 00:00:00,1993.0,1.718303529006658e-05,0.348992904692357
1992-05-16 12:00:00,1993.0,1.7011885513432465e-05,0.3485411673506031
1992-06-16 00:00:00,1993.0,1.682802135310551e-05,0.34718569136843125
1992-07-16 12:00:00,1993.0,1.6818438736172054e-05,0.34574522805667185
1992-08-16 12:00:00,1993.0,1.692965058967171e-05,0.3448960922009303
1992-09-16 00:00:00,1993.0,1.684504024925627e-05,0.3449971102941978
1992-10-16 12:00:00,1993.0,1.6622379147714754e-05,0.3454282284088775
1992-11-16 00:00:00,1993.0,1.64783232454845e-05,0.34566656522337225
1992-12-16 12:00:00,1993.0,1.6567075745116765e-05,0.34584263661950654
1993-01-16 12:00:00,1993.0,1.6820055858010886e-05,0.34620726036372484
1993-02-15 00:00:00,1993.0,1.700102928500789e-05,0.34689911609778634
1993-03-16 12:00:00,1993.0,1.711748706224746e-05,0.3479009734068363
1993-04-16 00:00:00,1993.0,1.711332892435095e-05,0.3486129861973559
1993-05-16 12:00:00,1993.0,1.6954816371296624e-05,0.3481938086644741
1993-06-16 00:00:00,1993.0,1.677526453626119e-05,0.3468434343805655
1993-07-16 12:00:00,1993.0,1.6778551966863022e-05,0.3452458494607416
1993-08-16 12:00:00,1993.0,1.6862490111690214e-05,0.3445414619880363
1993-09-16 00:00:00,1993.0,1.6919115967670967e-05,0.34501213496018607
1993-10-16 12:00:00,1993.0,1.672446295232692e-05,0.345600777062813
1993-11-16 00:00:00,1993.0,1.665689849730227e-05,0.3462572061637666
1993-12-16 12:00:00,1993.0,1.6690586276562753e-05,0.3464618682620185
1994-01-16 12:00:00,1993.0,1.688642321614647e-05,0.34677060047266783
